dataset,system,nDCG@10,R@100,p50_ms,p95_ms
cranfield,sift,0.34912919618861876,0.7394383279450362,0.8009160000000001,1.0010839999999999
cranfield,bm25,0.3433126592928677,0.7446409758017092,4.248375,5.1958329999999995
cranfield,e5,0.34382153825149586,0.769152147426399,13.951333,16.283667
cranfield,bge,0.35924308313684633,0.7756688242003003,14.421,16.84825
cranfield,splade,0.35875844610600754,0.7752148542414281,37.504332999999995,43.075084000000004
cranfield,weaviate-vector,0.34382153825149586,0.7685101721177572,19.778584,22.748583
cranfield,weaviate-hybrid,0.3699481738854914,0.7683311918750514,20.456,23.628957999999997
cranfield,weaviate-bm25,0.32218934148625344,0.7053032623073903,3.462542,4.44575
scifact,sift,0.696389951077395,0.926,0.7527079999999999,1.01325
scifact,bm25,0.6839043450068371,0.926,4.20375,4.900292
scifact,e5,0.6874992266745638,0.9276666666666668,14.455915999999998,17.052417000000002
scifact,bge,0.7127069247605032,0.9416666666666667,15.174333,17.325625
scifact,splade,0.7079126268852223,0.9486666666666668,37.407083,42.949833
scifact,weaviate-vector,0.6876453058440266,0.9276666666666668,20.335,23.096375
scifact,weaviate-hybrid,0.7229059427183963,0.955,20.816,23.584542000000003
scifact,weaviate-bm25,0.6673153549670301,0.8825555555555555,3.491083,5.197125
